Character,Death,Killer,Notes
*Bounty Hunter*,Deconstructed by Scar,Scar, 
*Drachman Commander*,Exploded by Fort Briggs' soldiers with a cannon,Fort Briggs' soldiers, 
*General*,Eaten by Mannequin Soldiers,Mannequin Soldiers, 
*Ishvalan Child*,Shot in the head by Envy,Envy, 
*Scientist*,Eaten by Mannequin Soldiers,Mannequin Soldiers, 
*Van Hohenheim's Master*,Soul sacrificed in the ritual indirectly cast by Father,King of Xerxes | Father, 
Alexander,Deconstructed by Scar,Scar, 
Atlas,Head exploded by Ashleigh Crichton,Ashleigh Crichton,2009 Exclusive
Barry the Chopper,Soul faded when his zombie body scratched out his blood seal,Barry the Chopper, 
Basque Grand,Deconstructed by Scar,Scar, 
Berthold Hawkeye,Died of an illness, , 
Bido,Impaled by Greed with his hand,Greed, 
Buccaneer,Stabbed and fatally wounded by King Bradley,King Bradley, 
Cain,Died in an accident, , 
Chiko,Died giving birth, , 
Cornello,Stabbed in the head by Lust with her claw,Lust, 
Cray,Eaten by Gluttony,Gluttony, 
Dolcetto,Cut in half at the waist by King Bradley with his sword,King Bradley, 
Envy,Destroyed when he crushed his own Philosopher's Stone,Envy, 
Father,Destroyed when impaled by Edward Elric with his fist after being turned to carbon by Greed,Edward Elric | Greed, 
Fessler,Shot in the chest by Basque Grand,Basque Grand, 
Fox,Smashed through the floor by Sloth,Sloth, 
Fu,Fatally wounded by King Bradley then stabbed by Buccaneer,King Bradley | Buccaneer, 
Gardner,Shot in the head by Olivier Mira Armstrong,Olivier Mira Armstrong, 
Giolio Comanche,Deconstructed by Scar,Scar, 
Gluttony,Philosopher's Stone ripped out and absorbed by Father,Father,Later Revived
Gluttony,Eaten by Pride,Pride, 
Gold-Toothed Doctor,Transmuted into a mass of flesh by Pride,Pride, 
Greed,Lowered into molten gold by Father,Father,Later Revived
Greed,Destroyed when his Philosopher's Stone was bitten off by Father,Father, 
Heathcliff Erbe,Shot in the temple by Maes Hughes,Maes Hughes,2009 Exclusive
Isaac McDougal,Sliced to death by King Bradley,King Bradley,2009 Exclusive
King Bradley,Bled out after having both arms deconstructed by Scar,Scar, 
King of Xerxes,Soul sacrificed in the ritual he was manipulated into casting by Father,King of Xerxes | Father,Later Revived
King of Xerxes,Destroyed with a burst of energy by Father,Father, 
Logue Lowe,Shot to death on orders of King Bradley,King Bradley, 
Lust,Destroyed after being repeatedly burned by Roy Mustang,Roy Mustang, 
Maes Hughes,Shot to death by Envy,Envy, 
Martel,Stabbed to death by King Bradley,King Bradley, 
Miranda,Stabbed in the back with an icicle by Atlas,Atlas,2009 Exclusive
Mrs. Tucker,Let herself starve to death,Mrs. Tucker, 
Nina Tucker,Deconstructed by Scar,Scar, 
Older Slicer Brother,Soul faded when Lust sliced his blood seal,Lust, 
Pedro,Fatally wounded by a Werewolf Chimera,Werewolf Chimera,2009 Exclusive
Raven,Slashed by Olivier Mira Armstrong and buried in wet cement,Olivier Mira Armstrong, 
Raul,Soul sacrificed in a ritual cast by Atlas,Atlas,2009 Exclusive
Roa,Dismembered by King Bradley with his sword,King Bradley, 
Rosalie Hamburgang,Died of unknown causes, ,2009 Exclusive
Sarah Rockbell,Stabbed to death by Scar,Scar, 
Scar's brother,Gave Scar his arm at the cost of his life,Scar's brother, 
Shou Tucker,Deconstructed by Scar,Scar, 
Sloth,Impaled on a spike by Sig Curtis and Alex Louis Armstrong,Sig Curtis | Alex Louis Armstrong, 
Smith,Torn apart by Pride,Pride, 
Solf J. Kimblee,Eaten by Pride,Pride, 
Trisha Elric,Died of an illness, , 
Ulchi,Shot to death on orders of King Bradley,King Bradley, 
Van Hohenheim,Passed away after depleting his life force, , 
Younger Slicer Brother,Soul faded when Envy repeatedly stabbed his blood seal,Envy, 
Yuriy Rockbell,Stabbed to death by Scar,Scar, 